id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
NE;NORDESTE;2026-01-02 13:00:00;1801.34;556.956;3969.345;11215.40899999;12812.918;4730.13199999
N;NORTE;2026-01-02 13:00:00;3414.036;1460.226;228.09;1912.346;8322.055;-1307.35699999
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 13:00:00;33159.031;7499.767;4840.66;34315.026;79814.48;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-02 13:00:00;21633.691;5338.72599999;32.742;16019.98;45150.322;-2125.183
S;SUL;2026-01-02 13:00:00;6309.964;143.859;610.48299999;5167.29099999;13529.189;-1297.592
NE;NORDESTE;2026-01-02 14:00:00;1788.402;562.517;5803.009;10649.69899999;12960.88599999;5842.741
N;NORTE;2026-01-02 14:00:00;3353.062;1410.22399999;234.464;1623.006;8423.829;-1803.073
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 14:00:00;35216.021;7516.306;6624.736;31646.156;81003.22;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-02 14:00:00;23498.453;5392.321;35.00799999;14621.45699999;46055.408;-2508.169
S;SUL;2026-01-02 14:00:00;6576.10399999;151.244;552.255;4751.994;13563.096;-1531.499
NE;NORDESTE;2026-01-02 15:00:00;1905.357;574.959;7448.483;8587.757;13466.589;5049.96699999
N;NORTE;2026-01-02 15:00:00;3799.24;1400.775;287.931;1280.117;8604.824;-1836.76099999
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 15:00:00;40095.94;8031.126;8221.021;25543.522;81891.61;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-02 15:00:00;26228.823;5901.311;12.108;11688.809;46356.669;-2525.618
S;SUL;2026-01-02 15:00:00;8162.52;154.081;472.499;3986.839;13463.527;-687.588
NE;NORDESTE;2026-01-02 16:00:00;2472.09;662.13199999;8391.27599999;5200.22899999;13758.482;2967.245
N;NORTE;2026-01-02 16:00:00;6289.727;1402.72;292.18;776.837;8566.365;195.09899999
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 16:00:00;47574.422;8850.633;9339.447;16552.082;82316.58;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-02 16:00:00;28799.978;6648.245;7.249;7727.92299999;46672.792;-3489.397
S;SUL;2026-01-02 16:00:00;10012.627;137.536;648.74199999;2847.093;13318.945;327.053
NE;NORDESTE;2026-01-02 17:00:00;3925.948;647.00399999;9130.837;985.773;13527.72999999;1161.83199999
N;NORTE;2026-01-02 17:00:00;8256.97799999;1416.726;323.63799999;297.313;8375.394;1919.261
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 17:00:00;56187.205;9210.657;10152.894;6665.287;82216.04;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-02 17:00:00;31474.46999999;6978.352;8.0;3749.309;46677.78999999;-4467.65899999
S;SUL;2026-01-02 17:00:00;12529.809;168.57499999;690.419;1632.892;13635.129;1386.566
NE;NORDESTE;2026-01-02 18:00:00;5304.528;644.188;9216.76;21.297;14425.242;761.531
N;NORTE;2026-01-02 18:00:00;10858.361;1440.79699999;309.432;43.962;8319.409;4333.143
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 18:00:00;63593.704;9342.662;10107.613;1132.924;84176.9;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-02 18:00:00;34010.835;7084.84399999;9.286;540.06;47981.17;-6336.145
S;SUL;2026-01-02 18:00:00;13419.98;172.833;572.135;527.605;13451.082;1241.471
NE;NORDESTE;2026-01-02 19:00:00;5504.781;645.93599999;8923.557;6.541;14749.524;331.29099999
N;NORTE;2026-01-02 19:00:00;12314.38299999;1458.33399999;358.595;3.022;8729.10299999;5405.231
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 19:00:00;69137.404;9374.601;9781.802;39.48;88333.29;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-02 19:00:00;36937.42099999;7097.799;9.87299999;17.223;50624.66899999;-6562.353
S;SUL;2026-01-02 19:00:00;14380.81899999;172.532;489.777;12.694;14229.99099999;825.831
NE;NORDESTE;2026-01-02 20:00:00;5456.017;660.39;9489.516;0.0;14738.604;867.319
N;NORTE;2026-01-02 20:00:00;12622.743;1465.32;351.793;0.0;8862.03099999;5577.825
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 20:00:00;69514.723;9399.395;10193.779;1.0;89108.9;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-02 20:00:00;37972.235;7107.02199999;13.173;0.0;50639.254;-5546.824
S;SUL;2026-01-02 20:00:00;13463.72799999;166.663;339.297;1.0;14869.00799999;-898.32
NE;NORDESTE;2026-01-02 21:00:00;5301.14399999;661.47399999;8760.588;0.0;15169.237;-446.031
N;NORTE;2026-01-02 21:00:00;12765.872;1472.633;353.709;0.0;8993.804;5598.41
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 21:00:00;69949.608;9429.62;9421.242;1.0;88801.47;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-02 21:00:00;38194.023;7124.60299999;32.893;0.0;49905.54899999;-4554.03
S;SUL;2026-01-02 21:00:00;13688.56899999;170.91;274.052;1.0;14732.87999999;-598.349
NE;NORDESTE;2026-01-02 22:00:00;4767.31099999;663.963;8464.85599999;0.0;15431.35299999;-1535.223
N;NORTE;2026-01-02 22:00:00;12528.762;1438.599;356.457;0.0;9077.812;5246.00599999
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 22:00:00;68521.187;9395.147;9249.781;1.0;87167.12;0.0
SE;SUDESTE/CENTRO-OESTE;2026-01-02 22:00:00;37663.787;7133.129;80.425;0.0;48396.716;-3519.375
S;SUL;2026-01-02 22:00:00;13561.32699999;159.456;348.043;1.0;14261.23399999;-191.408
NE;NORDESTE;2026-01-02 23:00:00;4305.30099999;681.078;7424.074;0.0;15251.773;-2841.32
